TestCaseID,MonthTalkTime,YearUnpaidNum,UnpaidCostAcrossYear,PayMethod,ExpectedOutput,ActualOutput,Correctness,Time,TesterName
0,30,0,0,Alipay,29.455,29.455,True,2020-06-30 11:11:52,anonymous
1,90,0,0,Alipay,38.2975,38.2975,True,2020-06-30 11:11:52,anonymous
2,150,0,0,Alipay,47.05,47.05,True,2020-06-30 11:11:52,anonymous
3,240,0,0,Alipay,60.1,60.1,True,2020-06-30 11:11:52,anonymous
4,320,0,0,Alipay,71.56,71.56,True,2020-06-30 11:11:52,anonymous
5,30,2,0,Alipay,29.5,29.5,True,2020-06-30 11:11:52,anonymous
6,90,3,0,Alipay,38.5,38.5,True,2020-06-30 11:11:52,anonymous
7,150,4,0,Alipay,47.5,47.5,True,2020-06-30 11:11:52,anonymous
8,240,4,0,Alipay,61.0,61.0,True,2020-06-30 11:11:52,anonymous
9,320,7,0,Alipay,73.0,73.0,True,2020-06-30 11:11:52,anonymous
10,30,0,250,Alipay,41.955,41.955,True,2020-06-30 11:11:52,anonymous
11,90,0,250,Alipay,50.7975,50.7975,True,2020-06-30 11:11:52,anonymous
12,150,0,250,Alipay,59.55,59.55,True,2020-06-30 11:11:52,anonymous
13,240,0,250,Alipay,72.6,72.6,True,2020-06-30 11:11:52,anonymous
14,320,0,250,Alipay,84.06,84.06,True,2020-06-30 11:11:52,anonymous
15,30,2,250,Alipay,42.0,42.0,True,2020-06-30 11:11:52,anonymous
16,90,3,250,Alipay,51.0,51.0,True,2020-06-30 11:11:52,anonymous
17,150,4,250,Alipay,60.0,60.0,True,2020-06-30 11:11:52,anonymous
18,240,4,250,Alipay,73.5,73.5,True,2020-06-30 11:11:52,anonymous
19,320,7,250,Alipay,85.5,85.5,True,2020-06-30 11:11:52,anonymous
20,-1,0,0,Alipay,error,error,True,2020-06-30 11:11:52,anonymous
21,30,-1,0,Alipay,error,error,True,2020-06-30 11:11:52,anonymous
22,30,0,-1,Alipay,error,error,True,2020-06-30 11:11:52,anonymous
23,44641,0,0,Alipay,error,error,True,2020-06-30 11:11:52,anonymous
24,30,12,0,Alipay,error,error,True,2020-06-30 11:11:52,anonymous
25,30,0,501,Alipay,error,error,True,2020-06-30 11:11:52,anonymous
